"Example","Model","Runtime_Stata","Runtime_R_CRAN","Runtime_R_Polars","Speedup_Polars_vs_Stata","Speedup_Polars_vs_CRAN"
"Wagepan","Baseline",0.728,1.08204102516174,1.34338808059692,0.541913398305962,0.805456770675639
"Wagepan","Placebos",0.811,1.7532901763916,1.82849788665771,0.443533463132636,0.958869129237233
"Wagepan","Normalized",0.851,1.84946322441101,1.75126194953918,0.485935299527252,1.05607457804794
"Wagepan","Controls",1.287,3.61934304237366,2.24409413337708,0.573505353834345,1.61283031248204
"Wagepan","Trends_Nonparam",0.877,1.63601398468018,1.73527908325195,0.505394209187656,0.942795888263838
"Wagepan","Trends_Lin",3.048,4.16465592384338,7.11805105209351,0.428207100187002,0.585083738984775
"Wagepan","Cluster",0.91,1.95408606529236,1.87721586227417,0.484760446727513,1.04094904830234
"Wagepan","Same_Switchers",1.282,1.99894499778748,2.71982216835022,0.471354346220963,0.734954299971749
"Wagepan","Switchers_In",0.495,0.79531717300415,1.0652711391449,0.464670431602362,0.746586614223451
"Wagepan","Switchers_Out",0.49,0.777862787246704,0.779465198516846,0.628636148133828,0.997944217043697
"Favara_Imbs","Baseline",0.822,2.12358808517456,1.54680800437927,0.531416955221839,1.37288408074068
"Deryugina","Baseline",8.909,44.833841085434,6.11240792274475,1.45752706831769,7.33489021873095
"Gentzkow","Non_Normalized",2.133,5.86462903022766,2.33136200904846,0.914915826766251,2.51553770176657
"Gentzkow","Normalized",2.238,6.2131199836731,1.99612092971802,1.12117455745336,3.11259698306494
